zpid,home_type,posted,daysOnMarket,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area,land_area,sold_price,sold_date,daysOnZillow_soldPage,area,Avg_Sqrt_listing,Avg_Sqrt_sold,difference_Avg_Sqrt,total_Pct_Change_price
31106976,SINGLE_FAMILY,2025-06-19,12,https://www.zillow.com/homedetails/347-Bauer-Pl-Mineola-NY-11501/31106976_zpid/,FOR_SALE,670000,"347 Bauer Pl, Mineola, NY 11501",11501,3.0,2.0,1475.0,2718.0,,,,Mineola,454,,,
31107302,SINGLE_FAMILY,2025-06-20,11,https://www.zillow.com/homedetails/35-Juniper-Ave-Mineola-NY-11501/31107302_zpid/,FOR_SALE,697000,"35 Juniper Avenue, Mineola, NY 11501",11501,3.0,1.0,1230.0,4000.0,,,,Mineola,567,,,
31101496,SINGLE_FAMILY,2025-06-20,11,https://www.zillow.com/homedetails/371-White-Rd-Mineola-NY-11501/31101496_zpid/,FOR_SALE,799000,"371 White Road, Mineola, NY 11501",11501,3.0,2.0,2200.0,,,,,Mineola,363,,,
31106465,SINGLE_FAMILY,2025-06-17,14,https://www.zillow.com/homedetails/247-Barwick-Blvd-Mineola-NY-11501/31106465_zpid/,FOR_SALE,730000,"247 Barwick Boulevard, Mineola, NY 11501",11501,4.0,2.0,2000.0,5000.0,,,,Mineola,365,,,
31105490,SINGLE_FAMILY,2025-04-04,88,https://www.zillow.com/homedetails/82-Albertson-Pl-Mineola-NY-11501/31105490_zpid/,FOR_SALE,950000,"82 Albertson Place, Mineola, NY 11501",11501,4.0,3.0,3000.0,4000.0,,,,Mineola,317,,,
31107624,SINGLE_FAMILY,2025-05-13,49,https://www.zillow.com/homedetails/189-Meadowsweet-Rd-Mineola-NY-11501/31107624_zpid/,FOR_SALE,930000,"189 Meadowsweet Road, Mineola, NY 11501",11501,4.0,2.0,1832.0,6250.0,,,,Mineola,508,,,
31102096,SINGLE_FAMILY,2025-06-11,20,https://www.zillow.com/homedetails/136-Wardwell-Rd-Mineola-NY-11501/31102096_zpid/,FOR_SALE,998888,"136 Wardwell Road, Mineola, NY 11501",11501,6.0,3.0,1650.0,6000.0,,,,Mineola,605,,,
31106476,SINGLE_FAMILY,2025-06-26,5,https://www.zillow.com/homedetails/216-Raff-Ave-Mineola-NY-11501/31106476_zpid/,FOR_SALE,850000,"216 Raff Avenue, Mineola, NY 11501",11501,5.0,2.0,1238.0,5000.0,,,,Mineola,687,,,
31105437,SINGLE_FAMILY,2025-06-03,28,https://www.zillow.com/homedetails/103-Fairfield-Ave-Mineola-NY-11501/31105437_zpid/,FOR_SALE,899999,"103 Fairfield Avenue, Mineola, NY 11501",11501,5.0,3.0,1993.0,5300.0,,,,Mineola,452,,,
31108410,SINGLE_FAMILY,2025-06-06,25,https://www.zillow.com/homedetails/84-Charles-St-Mineola-NY-11501/31108410_zpid/,FOR_SALE,979000,"84 Charles Street, Mineola, NY 11501",11501,3.0,2.0,1800.0,7100.0,,,,Mineola,544,,,
